Name,Symbol,Bid,Ask,Open,Day Low,Day High,Previous Close,Volume,Fifty Day Average,Two Hundred Day Average,Dividend Rate,Forward PE,Beta,Trailing Annual Dividend Yield,Payout Ratio,Fifty Two Week High,Fifty Two Week Low,Market Cap,Quote Type,Five Year Avg Dividend Yield,Enterprise To Revenue,Forward Eps,Book Value,Enterprise To EBITDA,Enterprise Value,Last Split Factor,Earnings Quarterly Growth
"Zoom Video Communications, Inc.",ZM,437.76,439.25,419.8,407.5,442,413.125,22315720,314.54672,216.20218,,153.40211,,,0,478,60.968,124784025600,EQUITY,,79.853,2.86,4.216,427.953,107524071424,,32.566
Hewlett Packard Enterprise Company,HPE,9.42,9.51,9.61,9.425,9.63,9.63,15124460,9.6402855,9.779643,0.48,6.462585,1.231343,0.0490135,,17.59,7.43,12220610560,EQUITY,,0.89,1.47,12.562,5.126,24018184192,1289:1000,
Tencent Holdings Limited,TCEHY,0,0,66.81,66.69,67.45,66.66,4862538,68.11886,59.026787,0.15,4.501007,0.981325,0.0016651665,0.103199996,72.95,40.04,655074852864,EQUITY,0.24,,14.89,5.056,,627770982400,5:1,0.372
Oracle Corporation,ORCL,59.82,59.92,59.98,59.425,60.29,60.18,48891730,56.431713,53.374355,0.96,13.10307,0.81884,0.015952144,0.3028,61.86,39.71,179677806592,EQUITY,1.56,5.146,4.56,3.334,12.082,201823993856,2:1,0.053
"L3Harris Technologies, Inc.",LHX,185.23,185.31,184.33,184.31,187.7,185.44,1784110,178.884,181.56999,3.4,14.009833,0.746466,0.01617774,0.36330003,230.99,142.01,40041480192,EQUITY,1.79,1.589,13.22,103.411,8.739,38136852480,10000:9448,1.014
Stryker Corporation,SYK,203.01,219.84,211.69,205.69,213.09,211.57,2592604,195.36171,184.42436,2.3,23.214848,0.837235,0.010611144,0.53330004,226.3,124.54,77517570048,EQUITY,1.17,5.87,8.89,33.956,22.329,82593890304,2:1,
Cigna Corporation,CI,166.01,168.26,167.87,166.6702,169.46,169,3010805,176.62343,182.13307,0.04,8.203224,0.667781,0.00023668639,0.0028,224.64,118.5,61660389376,EQUITY,0.02,0.589,20.47,128.642,7.895,91017101312,3:1,0.246
"Fidelity National Information Services, Inc.",FIS,146.22,146.96,148.51,145.5,149.935,148.81,3606455,146.79199,135.36858,1.4,21.88806,0.734113,0.00940797,,158.21,91.68,93791322112,EQUITY,1.24,8.87,6.7,79.358,25.26,108240412672,,-0.877
Polaris Inc.,PII,89.11,90.07,91.67,89.17,92,91.3,1210954,101.546,83.32443,2.48,12.815452,2.125975,0.02694414,,110.3,37.35,5494703104,EQUITY,2.52,1.105,6.99,12.284,11.883,7197239296,2:1,
"The Manitowoc Company, Inc.",MTW,9.22,9.12,8.67,8.96,9.58,9.12,835907,9.789714,9.843286,,33.962963,1.473801,0.00877193,0,17.78,7.24,316558496,EQUITY,,0.352,0.27,17.835,5.818,552724800,1:4,
Pan American Silver Corp.,PAAS,34.51,34.92,35.43,34.6,35.708,35.19,2792725,35.227715,27.003572,0.2,16.56938,1.657703,0.0048309183,1,40.11,10.61,7268075520,EQUITY,1.04,5.309,2.09,11.373,16.647,7243976192,,0.092
Rite Aid Corporation,RAD,13.36,13.47,13.29,12.9,13.57,13.21,3685360,13.838,14.269714,,16.8,0.760312,,0,23.88,6.59,745754688,EQUITY,,0.322,0.8,11.481,11.571,7266630144,1:20,
"Huntington Ingalls Industries, Inc.",HII,149.47,149.54,150,148.78,151.52,150.59,662469,158.19029,177.10406,4.12,13.248667,0.947045,0.026230162,0.3064,279.71,137.64,6040626176,EQUITY,1.37,0.873,11.26,41.432,7.94,7789543424,1:2,-0.586
"Micron Technology, Inc.",MU,50.67,50.75,51.5,49.97,52.17,50.98,25548983,46.968285,47.04814,,12.4362755,1.343924,,0,61.19,31.13,58197258240,EQUITY,,2.466,4.08,34.011,6.299,49925918720,2:1,-0.044
Bank of America Corporation,BAC,25.2,25.22,25.15,25.1,25.58,25.35,93069841,25.703142,24.064857,0.72,11.89151,1.54738,0.028402368,0.3478,35.72,17.95,221486219264,EQUITY,1.7,-1.867,2.12,27.956,,-142954512384,2:1,-0.519
eBay Inc.,EBAY,48.21,48.61,49,48.085,49.24,48.64,9091631,54.941143,46.014427,0.64,12.275252,1.352285,0.012335527,0.219,61.06,26.02,34021216256,EQUITY,,3.635,3.96,4.116,12.214,40720728064,2376:1000,0.856
Eli Lilly and Company,LLY,150.5,154.2,152.04,152.04,154.5,152.47,13187175,150.66943,151.26614,2.96,19.27125,0.183389,0.018167509,0.45189998,170.75,101.36,147458981888,EQUITY,2.33,6.479,8,4.515,19.532,148701904896,2:1,0.064
